yr,gid,total_pop
2021,다사400266,12.0
2020,다사400266,14.0
2019,다사400266,17.0
2018,다사400266,20.0
2022,다사400266,14.0
2021,다사419209,255.0
2020,다사419209,265.0
2019,다사419209,266.0
2018,다사419209,272.0
2022,다사419209,254.0
2021,다사471242,31.0
2020,다사471242,29.0
2019,다사471242,26.0
2018,다사471242,6.0
2022,다사471242,25.0
2021,다사375264,79.0
2020,다사375264,88.0
2019,다사375264,91.0
2018,다사375264,95.0
2022,다사375264,79.0
2021,다사432215,441.0
2020,다사432215,465.0
2019,다사432215,496.0
2018,다사432215,550.0
2022,다사432215,426.0
2021,다사394270,617.0
2020,다사394270,624.0
2019,다사394270,647.0
2018,다사394270,661.0
2022,다사394270,596.0
2021,다사455221,348.0
2020,다사455221,360.0
2019,다사455221,358.0
2018,다사455221,382.0
2022,다사455221,349.0
2021,다사446221,119.0
2020,다사446221,119.0
2019,다사446221,121.0
2018,다사446221,133.0
2022,다사446221,119.0
2021,다사339256,0.0
2020,다사339256,0.0
2019,다사339256,0.0
2018,다사339256,
2022,다사339256,0.0
2021,다사436244,122.0
2020,다사436244,122.0
2019,다사436244,126.0
2018,다사436244,131.0
2022,다사436244,123.0
2021,다사360235,0.0
2020,다사360235,
2019,다사360235,
2018,다사360235,
2022,다사360235,0.0
2021,다사443289,0.0
2020,다사443289,0.0
2019,다사443289,0.0
2018,다사443289,0.0
2022,다사443289,0.0
2021,다사441294,0.0
2020,다사441294,0.0
2019,다사441294,0.0
2018,다사441294,0.0
2022,다사441294,0.0
2021,다사393268,571.0
2020,다사393268,594.0
2019,다사393268,610.0
2018,다사393268,650.0
2022,다사393268,565.0
2021,다사417253,632.0
2020,다사417253,657.0
2019,다사417253,661.0
2018,다사417253,648.0
2022,다사417253,629.0
2021,다사425218,371.0
2020,다사425218,408.0
2019,다사425218,418.0
2018,다사425218,426.0
2022,다사425218,367.0
2021,다사395263,71.0
2020,다사395263,70.0
2019,다사395263,67.0
2018,다사395263,75.0
2022,다사395263,69.0
2021,다사425234,92.0
2020,다사425234,86.0
2019,다사425234,97.0
2018,다사425234,73.0
2022,다사425234,78.0
2021,다사429222,24.0
2020,다사429222,25.0
2019,다사429222,24.0
2018,다사429222,23.0
2022,다사429222,23.0
2021,다사396268,345.0
2020,다사396268,363.0
2019,다사396268,351.0
2018,다사396268,373.0
2022,다사396268,337.0
2021,다사407273,28.0
2020,다사407273,29.0
2019,다사407273,33.0
2018,다사407273,33.0
2022,다사407273,32.0
2021,다사491218,0.0
2020,다사491218,0.0
2019,다사491218,0.0
2018,다사491218,0.0
2022,다사491218,0.0
2021,다사431255,18.0
2020,다사431255,21.0
2019,다사431255,23.0
2018,다사431255,27.0
2022,다사431255,21.0
2021,다사345257,0.0
2020,다사345257,0.0
2019,다사345257,0.0
2018,다사345257,0.0
2022,다사345257,0.0
2021,다사438217,96.0
2020,다사438217,91.0
2019,다사438217,88.0
2018,다사438217,105.0
2022,다사438217,87.0
2021,다사427269,7.0
2020,다사427269,7.0
2019,다사427269,8.0
2018,다사427269,8.0
2022,다사427269,7.0
2021,다사442220,234.0
2020,다사442220,316.0
2019,다사442220,310.0
2018,다사442220,352.0
2022,다사442220,226.0
2021,다사393279,22.0
2020,다사393279,23.0
2019,다사393279,26.0
2018,다사393279,31.0
2022,다사393279,17.0
2021,다사428210,92.0
2020,다사428210,91.0
2019,다사428210,95.0
2018,다사428210,99.0
2022,다사428210,96.0
2021,다사393275,115.0
2020,다사393275,142.0
2019,다사393275,157.0
2018,다사393275,160.0
2022,다사393275,122.0
2021,다사418241,19.0
2020,다사418241,18.0
2019,다사418241,11.0
2018,다사418241,20.0
2022,다사418241,23.0
2021,다사392268,757.0
2020,다사392268,770.0
2019,다사392268,801.0
2018,다사392268,851.0
2022,다사392268,728.0
2021,다사376238,0.0
2020,다사376238,0.0
2019,다사376238,0.0
2018,다사376238,0.0
2022,다사376238,0.0
2021,다사431226,103.0
2020,다사431226,96.0
2019,다사431226,105.0
2018,다사431226,117.0
2022,다사431226,101.0
2021,다사406260,286.0
2020,다사406260,307.0
2019,다사406260,361.0
2018,다사406260,388.0
2022,다사406260,261.0
2021,다사400257,28.0
2020,다사400257,29.0
2019,다사400257,25.0
2018,다사400257,29.0
2022,다사400257,25.0
2021,다사328247,0.0
2020,다사328247,0.0
2019,다사328247,0.0
2018,다사328247,0.0
2022,다사328247,0.0
2021,다사438226,0.0
2020,다사438226,0.0
2019,다사438226,0.0
2018,다사438226,0.0
2022,다사438226,0.0
2021,다사428227,16.0
2020,다사428227,17.0
2019,다사428227,16.0
2018,다사428227,15.0
2022,다사428227,17.0
2021,다사440239,256.0
2020,다사440239,266.0
2019,다사440239,284.0
2018,다사440239,292.0
2022,다사440239,253.0
2021,다사379257,378.0
2020,다사379257,376.0
2019,다사379257,386.0
2018,다사379257,414.0
2022,다사379257,378.0
2021,다사413225,103.0
2020,다사413225,78.0
2019,다사413225,83.0
2018,다사413225,78.0
2022,다사413225,96.0
2021,다사424258,146.0
2020,다사424258,153.0
2019,다사424258,149.0
2018,다사424258,158.0
2022,다사424258,149.0
2021,다사401233,375.0
2020,다사401233,382.0
2019,다사401233,389.0
2018,다사401233,397.0
2022,다사401233,356.0
2021,다사415227,194.0
2020,다사415227,179.0
2019,다사415227,177.0
2018,다사415227,211.0
2022,다사415227,189.0
2021,다사416263,150.0
2020,다사416263,146.0
2019,다사416263,142.0
2018,다사416263,142.0
2022,다사416263,150.0
2021,다사348248,0.0
2020,다사348248,0.0
2019,다사348248,
2018,다사348248,
2022,다사348248,0.0
2021,다사445280,6.0
2020,다사445280,9.0
2019,다사445280,9.0
2018,다사445280,10.0
2022,다사445280,6.0
2021,다사445293,53.0
2020,다사445293,70.0
2019,다사445293,65.0
2018,다사445293,65.0
2022,다사445293,35.0
2021,다사432248,24.0
2020,다사432248,28.0
2019,다사432248,25.0
2018,다사432248,17.0
2022,다사432248,23.0
2021,다사391287,0.0
2020,다사391287,0.0
2019,다사391287,0.0
2018,다사391287,0.0
2022,다사391287,0.0
2021,다사382274,138.0
2020,다사382274,156.0
2019,다사382274,159.0
2018,다사382274,176.0
2022,다사382274,127.0
2021,다사397290,20.0
2020,다사397290,18.0
2019,다사397290,16.0
2018,다사397290,17.0
2022,다사397290,18.0
2021,다사449279,7.0
2020,다사449279,0.0
2019,다사449279,8.0
2018,다사449279,8.0
2022,다사449279,0.0
2021,다사355268,6.0
2020,다사355268,7.0
2019,다사355268,0.0
2018,다사355268,6.0
2022,다사355268,6.0
2021,다사458219,0.0
2020,다사458219,0.0
2019,다사458219,0.0
2018,다사458219,
2022,다사458219,0.0
2021,다사325238,0.0
2020,다사325238,0.0
2019,다사325238,0.0
2018,다사325238,0.0
2022,다사325238,0.0
2021,다사425274,0.0
2020,다사425274,0.0
2019,다사425274,0.0
2018,다사425274,0.0
2022,다사425274,0.0
2021,다사377270,45.0
2020,다사377270,43.0
2019,다사377270,38.0
2018,다사377270,38.0
2022,다사377270,47.0
2021,다사402235,335.0
2020,다사402235,344.0
2019,다사402235,354.0
2018,다사402235,357.0
2022,다사402235,336.0
2021,다사444223,225.0
2020,다사444223,226.0
2019,다사444223,223.0
2018,다사444223,254.0
2022,다사444223,220.0
2021,다사407262,159.0
2020,다사407262,160.0
2019,다사407262,174.0
2018,다사407262,180.0
2022,다사407262,153.0
2021,다사453304,0.0
2020,다사453304,0.0
2019,다사453304,0.0
2018,다사453304,
2022,다사453304,0.0
2021,다사340251,0.0
2020,다사340251,0.0
2019,다사340251,
2018,다사340251,
2022,다사340251,0.0
2021,다사390227,225.0
2020,다사390227,226.0
2019,다사390227,214.0
2018,다사390227,191.0
2022,다사390227,235.0
2021,다사386283,0.0
2020,다사386283,7.0
2019,다사386283,7.0
2018,다사386283,8.0
2022,다사386283,0.0
2021,다사419210,401.0
2020,다사419210,410.0
2019,다사419210,438.0
2018,다사419210,471.0
2022,다사419210,397.0
2021,다사387268,96.0
2020,다사387268,91.0
2019,다사387268,107.0
2018,다사387268,110.0
2022,다사387268,100.0
2021,다사443225,388.0
2020,다사443225,411.0
2019,다사443225,428.0
2018,다사443225,459.0
2022,다사443225,323.0
2021,다사425265,429.0
2020,다사425265,468.0
2019,다사425265,512.0
2018,다사425265,527.0
2022,다사425265,429.0
2021,다사418221,219.0
2020,다사418221,215.0
2019,다사418221,226.0
2018,다사418221,255.0
2022,다사418221,214.0
2021,다사490229,0.0
2020,다사490229,0.0
2019,다사490229,0.0
2018,다사490229,0.0
2022,다사490229,0.0
2021,다사395230,336.0
2020,다사395230,358.0
2019,다사395230,364.0
2018,다사395230,365.0
2022,다사395230,331.0
2021,다사399280,
2020,다사399280,0.0
2019,다사399280,0.0
2018,다사399280,0.0
2022,다사399280,0.0
2021,다사439213,44.0
2020,다사439213,47.0
2019,다사439213,48.0
2018,다사439213,55.0
2022,다사439213,44.0
2021,다사429227,85.0
2020,다사429227,89.0
2019,다사429227,84.0
2018,다사429227,82.0
2022,다사429227,79.0
2021,다사415251,301.0
2020,다사415251,317.0
2019,다사415251,338.0
2018,다사415251,355.0
2022,다사415251,304.0
2021,다사339249,0.0
2020,다사339249,0.0
2019,다사339249,0.0
2018,다사339249,0.0
2022,다사339249,0.0
2021,다사433219,170.0
2020,다사433219,175.0
2019,다사433219,189.0
2018,다사433219,200.0
2022,다사433219,161.0
2021,다사435222,204.0
2020,다사435222,216.0
2019,다사435222,222.0
2018,다사435222,242.0
2022,다사435222,193.0
2021,다사384267,52.0
2020,다사384267,59.0
2019,다사384267,68.0
2018,다사384267,79.0
2022,다사384267,54.0
2021,다사419257,0.0
2020,다사419257,0.0
2019,다사419257,6.0
2018,다사419257,7.0
2022,다사419257,0.0
2021,다사443217,172.0
2020,다사443217,165.0
2019,다사443217,180.0
2018,다사443217,183.0
2022,다사443217,170.0
2021,다사476232,
2020,다사476232,0.0
2019,다사476232,0.0
2018,다사476232,6.0
2022,다사476232,0.0
2021,다사397235,364.0
2020,다사397235,385.0
2019,다사397235,394.0
2018,다사397235,399.0
2022,다사397235,362.0
2021,다사443218,0.0
2020,다사443218,0.0
2019,다사443218,0.0
2018,다사443218,0.0
2022,다사443218,0.0
2021,다사424213,593.0
2020,다사424213,607.0
2019,다사424213,608.0
2018,다사424213,614.0
2022,다사424213,575.0
2021,다사418255,181.0
2020,다사418255,185.0
2019,다사418255,198.0
2018,다사418255,198.0
2022,다사418255,178.0
2021,다사472229,277.0
2020,다사472229,273.0
2019,다사472229,271.0
2018,다사472229,317.0
2022,다사472229,276.0
2021,다사443238,38.0
2020,다사443238,40.0
2019,다사443238,43.0
2018,다사443238,45.0
2022,다사443238,33.0
2021,다사434208,287.0
2020,다사434208,305.0
2019,다사434208,313.0
2018,다사434208,318.0
2022,다사434208,278.0
2021,다사409241,148.0
2020,다사409241,150.0
2019,다사409241,151.0
2018,다사409241,158.0
2022,다사409241,147.0
2021,다사424226,49.0
2020,다사424226,46.0
2019,다사424226,63.0
2018,다사424226,69.0
2022,다사424226,43.0
2021,다사346267,222.0
2020,다사346267,229.0
2019,다사346267,240.0
2018,다사346267,262.0
2022,다사346267,214.0
2021,다사379256,896.0
2020,다사379256,900.0
2019,다사379256,962.0
2018,다사379256,996.0
2022,다사379256,879.0
2021,다사403257,191.0
2020,다사403257,193.0
2019,다사403257,198.0
2018,다사403257,220.0
2022,다사403257,179.0
2021,다사425259,227.0
2020,다사425259,250.0
2019,다사425259,272.0
2018,다사425259,306.0
2022,다사425259,249.0
2021,다사439264,417.0
2020,다사439264,389.0
2019,다사439264,359.0
2018,다사439264,377.0
2022,다사439264,406.0
2021,다사421208,490.0
2020,다사421208,474.0
2019,다사421208,86.0
2018,다사421208,87.0
2022,다사421208,452.0
2021,다사317241,0.0
2020,다사317241,0.0
2019,다사317241,0.0
2018,다사317241,0.0
2022,다사317241,0.0
2021,다사326238,
2020,다사326238,
2019,다사326238,
2018,다사326238,
2022,다사326238,0.0
2021,다사419240,66.0
2020,다사419240,64.0
2019,다사419240,62.0
2018,다사419240,69.0
2022,다사419240,67.0
2021,다사378242,12.0
2020,다사378242,14.0
2019,다사378242,25.0
2018,다사378242,21.0
2022,다사378242,13.0
2021,다사382229,0.0
2020,다사382229,
2019,다사382229,0.0
2018,다사382229,0.0
2022,다사382229,0.0
2021,다사328232,0.0
2020,다사328232,0.0
2019,다사328232,0.0
2018,다사328232,0.0
2022,다사328232,0.0
2021,다사433242,280.0
2020,다사433242,276.0
2019,다사433242,300.0
2018,다사433242,304.0
2022,다사433242,271.0
2021,다사437224,181.0
2020,다사437224,181.0
2019,다사437224,189.0
2018,다사437224,211.0
2022,다사437224,179.0
2021,다사418246,324.0
2020,다사418246,329.0
2019,다사418246,352.0
2018,다사418246,358.0
2022,다사418246,322.0
2021,다사468240,44.0
2020,다사468240,43.0
2019,다사468240,46.0
2018,다사468240,48.0
2022,다사468240,43.0
2021,다사414256,338.0
2020,다사414256,341.0
2019,다사414256,341.0
2018,다사414256,359.0
2022,다사414256,333.0
2021,다사395221,270.0
2020,다사395221,292.0
2019,다사395221,280.0
2018,다사395221,282.0
2022,다사395221,267.0
2021,다사467241,12.0
2020,다사467241,12.0
2019,다사467241,13.0
2018,다사467241,14.0
2022,다사467241,16.0
2021,다사357223,0.0
2020,다사357223,0.0
2019,다사357223,
2018,다사357223,
2022,다사357223,0.0
2021,다사392263,474.0
2020,다사392263,503.0
2019,다사392263,551.0
2018,다사392263,595.0
2022,다사392263,469.0
2021,다사379238,0.0
2020,다사379238,0.0
2019,다사379238,
2018,다사379238,0.0
2022,다사379238,0.0
2021,다사442282,12.0
2020,다사442282,10.0
2019,다사442282,10.0
2018,다사442282,10.0
2022,다사442282,12.0
2021,다사423234,0.0
2020,다사423234,0.0
2019,다사423234,0.0
2018,다사423234,0.0
2022,다사423234,0.0
2021,다사369260,32.0
2020,다사369260,29.0
2019,다사369260,40.0
2018,다사369260,36.0
2022,다사369260,31.0
2021,다사378266,8.0
2020,다사378266,8.0
2019,다사378266,6.0
2018,다사378266,6.0
2022,다사378266,9.0
2021,다사416247,177.0
2020,다사416247,180.0
2019,다사416247,182.0
2018,다사416247,191.0
2022,다사416247,172.0
2021,다사448218,225.0
2020,다사448218,221.0
2019,다사448218,219.0
2018,다사448218,227.0
2022,다사448218,231.0
2021,다사318243,0.0
2020,다사318243,0.0
2019,다사318243,0.0
2018,다사318243,0.0
2022,다사318243,0.0
2021,다사427266,174.0
2020,다사427266,165.0
2019,다사427266,166.0
2018,다사427266,184.0
2022,다사427266,184.0
2021,다사357233,0.0
2020,다사357233,0.0
2019,다사357233,0.0
2018,다사357233,0.0
2022,다사357233,0.0
2021,다사374258,86.0
2020,다사374258,94.0
2019,다사374258,106.0
2018,다사374258,109.0
2022,다사374258,90.0
2021,다사438268,0.0
2020,다사438268,0.0
2019,다사438268,0.0
2018,다사438268,0.0
2022,다사438268,0.0
2021,다사435263,260.0
2020,다사435263,235.0
2019,다사435263,258.0
2018,다사435263,258.0
2022,다사435263,251.0
2021,다사452239,0.0
2020,다사452239,0.0
2019,다사452239,
2018,다사452239,
2022,다사452239,0.0
2021,다사440264,96.0
2020,다사440264,94.0
2019,다사440264,97.0
2018,다사440264,79.0
2022,다사440264,90.0
2021,다사337255,7.0
2020,다사337255,7.0
2019,다사337255,7.0
2018,다사337255,7.0
2022,다사337255,6.0
2021,다사461218,0.0
2020,다사461218,0.0
2019,다사461218,0.0
2018,다사461218,
2022,다사461218,0.0
2021,다사368260,124.0
2020,다사368260,114.0
2019,다사368260,96.0
2018,다사368260,109.0
2022,다사368260,122.0
2021,다사392259,554.0
2020,다사392259,561.0
2019,다사392259,600.0
2018,다사392259,643.0
2022,다사392259,529.0
2021,다사422249,610.0
2020,다사422249,621.0
2019,다사422249,647.0
2018,다사422249,695.0
2022,다사422249,597.0
2021,다사402239,123.0
2020,다사402239,120.0
2019,다사402239,128.0
2018,다사402239,133.0
2022,다사402239,119.0
2021,다사416228,71.0
2020,다사416228,69.0
2019,다사416228,70.0
2018,다사416228,67.0
2022,다사416228,70.0
2021,다사442208,0.0
2020,다사442208,0.0
2019,다사442208,0.0
2018,다사442208,0.0
2022,다사442208,0.0
2021,다사433289,0.0
2020,다사433289,0.0
2019,다사433289,0.0
2018,다사433289,0.0
2022,다사433289,0.0
2021,다사350236,0.0
2020,다사350236,0.0
2019,다사350236,0.0
2018,다사350236,0.0
2022,다사350236,0.0
2021,다사398257,323.0
2020,다사398257,320.0
2019,다사398257,334.0
2018,다사398257,321.0
2022,다사398257,311.0
2021,다사329243,0.0
2020,다사329243,0.0
2019,다사329243,0.0
2018,다사329243,0.0
2022,다사329243,0.0
2021,다사398268,177.0
2020,다사398268,187.0
2019,다사398268,200.0
2018,다사398268,219.0
2022,다사398268,201.0
2021,다사440240,91.0
2020,다사440240,105.0
2019,다사440240,110.0
2018,다사440240,117.0
2022,다사440240,100.0
2021,다사382256,238.0
2020,다사382256,239.0
2019,다사382256,244.0
2018,다사382256,254.0
2022,다사382256,245.0
2021,다사429210,6.0
2020,다사429210,0.0
2019,다사429210,
2018,다사429210,
2022,다사429210,0.0
2021,다사422253,304.0
2020,다사422253,325.0
2019,다사422253,333.0
2018,다사422253,344.0
2022,다사422253,295.0
2021,다사430262,625.0
2020,다사430262,703.0
2019,다사430262,747.0
2018,다사430262,736.0
2022,다사430262,531.0
2021,다사382268,299.0
2020,다사382268,342.0
2019,다사382268,375.0
2018,다사382268,370.0
2022,다사382268,269.0
2021,다사479224,0.0
2020,다사479224,0.0
2019,다사479224,0.0
2018,다사479224,0.0
2022,다사479224,0.0
2021,다사457238,0.0
2020,다사457238,0.0
2019,다사457238,0.0
2018,다사457238,0.0
2022,다사457238,0.0
2021,다사393273,271.0
2020,다사393273,287.0
2019,다사393273,310.0
2018,다사393273,315.0
2022,다사393273,248.0
2021,다사370258,87.0
2020,다사370258,86.0
2019,다사370258,102.0
2018,다사370258,110.0
2022,다사370258,79.0
2021,다사427202,443.0
2020,다사427202,449.0
2019,다사427202,482.0
2018,다사427202,514.0
2022,다사427202,415.0
2021,다사432272,0.0
2020,다사432272,0.0
2019,다사432272,0.0
2018,다사432272,0.0
2022,다사432272,0.0
2021,다사401278,56.0
2020,다사401278,57.0
2019,다사401278,65.0
2018,다사401278,74.0
2022,다사401278,54.0
2021,다사463231,0.0
2020,다사463231,0.0
2019,다사463231,0.0
2018,다사463231,0.0
2022,다사463231,0.0
2021,다사437268,6.0
2020,다사437268,6.0
2019,다사437268,0.0
2018,다사437268,0.0
2022,다사437268,6.0
2021,다사404255,134.0
2020,다사404255,139.0
2019,다사404255,133.0
2018,다사404255,132.0
2022,다사404255,130.0
2021,다사469228,0.0
2020,다사469228,0.0
2019,다사469228,0.0
2018,다사469228,6.0
2022,다사469228,0.0
2021,다사333251,0.0
2020,다사333251,0.0
2019,다사333251,0.0
2018,다사333251,0.0
2022,다사333251,0.0
2021,다사378255,7.0
2020,다사378255,8.0
2019,다사378255,10.0
2018,다사378255,174.0
2022,다사378255,7.0
2021,다사385280,786.0
2020,다사385280,778.0
2019,다사385280,729.0
2018,다사385280,225.0
2022,다사385280,789.0
2021,다사366253,8.0
2020,다사366253,11.0
2019,다사366253,11.0
2018,다사366253,10.0
2022,다사366253,9.0
2021,다사430214,0.0
2020,다사430214,0.0
2019,다사430214,0.0
2018,다사430214,0.0
2022,다사430214,0.0
2021,다사329251,
2020,다사329251,
2019,다사329251,
2018,다사329251,
2022,다사329251,0.0
2021,다사318244,0.0
2020,다사318244,0.0
2019,다사318244,
2018,다사318244,
2022,다사318244,0.0
2021,다사418233,58.0
2020,다사418233,58.0
2019,다사418233,68.0
2018,다사418233,62.0
2022,다사418233,54.0
2021,다사378279,0.0
2020,다사378279,0.0
2019,다사378279,0.0
2018,다사378279,
2022,다사378279,0.0
2021,다사422214,333.0
2020,다사422214,337.0
2019,다사422214,358.0
2018,다사422214,350.0
2022,다사422214,319.0
2021,다사478232,0.0
2020,다사478232,0.0
2019,다사478232,6.0
2018,다사478232,6.0
2022,다사478232,7.0
2021,다사454211,
2020,다사454211,
2019,다사454211,
2018,다사454211,0.0
2022,다사454211,0.0
2021,다사442241,268.0
2020,다사442241,266.0
2019,다사442241,262.0
2018,다사442241,272.0
2022,다사442241,262.0
2021,다사469240,7.0
2020,다사469240,7.0
2019,다사469240,9.0
2018,다사469240,9.0
2022,다사469240,7.0
2021,다사343241,0.0
2020,다사343241,0.0
2019,다사343241,0.0
2018,다사343241,0.0
2022,다사343241,0.0
2021,다사413226,45.0
2020,다사413226,37.0
2019,다사413226,29.0
2018,다사413226,40.0
2022,다사413226,58.0
2021,다사421228,119.0
2020,다사421228,104.0
2019,다사421228,120.0
2018,다사421228,119.0
2022,다사421228,97.0
2021,다사433290,0.0
2020,다사433290,0.0
2019,다사433290,
2018,다사433290,
2022,다사433290,0.0
2021,다사404238,22.0
2020,다사404238,31.0
2019,다사404238,33.0
2018,다사404238,26.0
2022,다사404238,24.0
2021,다사429266,141.0
2020,다사429266,145.0
2019,다사429266,152.0
2018,다사429266,165.0
2022,다사429266,139.0
2021,다사401286,0.0
